service,category,month,total_seats,active_seats,monthly_cost
Slack,Communication,2023-07,55.0,7.0,26
Slack,Communication,2023-08,55.0,7.0,26
Slack,Communication,2023-09,55.0,7.0,26
Slack,Communication,2023-10,55.0,8.0,26
Slack,Communication,2023-11,55.0,8.0,26
Slack,Communication,2023-12,55.0,9.0,27
Slack,Communication,2024-01,55.0,9.0,27
Slack,Communication,2024-02,55.0,9.0,27
Slack,Communication,2024-03,55.0,10.0,27
Slack,Communication,2024-04,55.0,10.0,28
Slack,Communication,2024-05,55.0,11.0,28
Slack,Communication,2024-06,55.0,11.0,28
Slack,Communication,2024-07,55.0,11.0,29
Slack,Communication,2024-08,55.0,12.0,29
Slack,Communication,2024-09,55.0,12.0,30
Slack,Communication,2024-10,55.0,13.0,29
Slack,Communication,2024-11,55.0,13.0,30
Slack,Communication,2024-12,55.0,13.0,30
Slack,Communication,2025-01,55.0,14.0,31
Slack,Communication,2025-02,55.0,14.0,31
Slack,Communication,2025-03,55.0,14.0,31
Slack,Communication,2025-04,55.0,14.0,31
Slack,Communication,2025-05,55.0,14.0,31
Slack,Communication,2025-06,55.0,14.0,32
Microsoft Teams,Communication,2023-07,55.0,44.0,79
Microsoft Teams,Communication,2023-08,55.0,41.0,79
Microsoft Teams,Communication,2023-09,55.0,39.0,81
Microsoft Teams,Communication,2023-10,55.0,36.0,79
Microsoft Teams,Communication,2023-11,55.0,34.0,81
Microsoft Teams,Communication,2023-12,55.0,31.0,79
Microsoft Teams,Communication,2024-01,55.0,29.0,79
Microsoft Teams,Communication,2024-02,55.0,26.0,79
Microsoft Teams,Communication,2024-03,55.0,24.0,80
Microsoft Teams,Communication,2024-04,55.0,22.0,78
Microsoft Teams,Communication,2024-05,55.0,19.0,79
Microsoft Teams,Communication,2024-06,55.0,17.0,81
Microsoft Teams,Communication,2024-07,55.0,14.0,78
Microsoft Teams,Communication,2024-08,55.0,12.0,80
Microsoft Teams,Communication,2024-09,55.0,9.0,80
Microsoft Teams,Communication,2024-10,55.0,7.0,79
Microsoft Teams,Communication,2024-11,55.0,4.0,80
Microsoft Teams,Communication,2024-12,55.0,2.0,79
Microsoft Teams,Communication,2025-01,55.0,0.0,80
Microsoft Teams,Communication,2025-02,55.0,0.0,79
Microsoft Teams,Communication,2025-03,55.0,0.0,80
Microsoft Teams,Communication,2025-04,55.0,0.0,78
Microsoft Teams,Communication,2025-05,55.0,0.0,80
Microsoft Teams,Communication,2025-06,55.0,0.0,78
Google Workspace,Productivity,2023-07,55.0,54.0,29
Google Workspace,Productivity,2023-08,55.0,51.0,29
Google Workspace,Productivity,2023-09,55.0,51.0,29
Google Workspace,Productivity,2023-10,55.0,53.0,31
Google Workspace,Productivity,2023-11,55.0,54.0,29
Google Workspace,Productivity,2023-12,55.0,54.0,30
Google Workspace,Productivity,2024-01,55.0,53.0,29
